Diff,Song,Money Score,EX,FC,dateOfFC,dateOfLastPlay,MaxCombo,Marvelous,Perfect,Great,Good,OK,Miss,Slow,Fast
14,"Cytokinesis
",941490.0,1200.0,GFC,8/27/2023,8/27/2023,481.0,286.0,130.0,61.0,4.0,7.0,0.0,102.0,93.0
13,"DoLL
",949340.0,457.0,NoFC,8/29/2023,8/29/2023,2.0,9.0,117.0,19.0,2.0,59.0,1.0,112.0,26.0
Q,"Flight of the Phoenix
",990350.0,665.0,NoFC,8/29/2023,8/29/2023,128.0,159.0,49.0,3.0,0.0,29.0,1.0,10.0,420.0
13,"初音 ミク の 消失
",970080.0,1435.0,NoFC,8/29/2023,8/29/2023,393.0,377.0,124.0,26.0,5.0,10.0,1.0,510.0,105.0
13,"BRUEhHST
",978720.0,1115.0,GrFC,8/29/2023,8/29/2023,378.0,260.0,97.0,21.0,0.0,40.0,0.0,30.0,188.0
11,"Dance Celebration
",984620.0,940.0,NoFC,8/29/2023,8/29/2023,987.0,262.0,58.0,8.0,1.0,10.0,1.0,47.0,2.0
11,"La Bamba
",980810.0,877.0,GrFC,8/29/2023,8/29/2023,328.0,233.0,80.0,15.0,0.0,1.0,0.0,17.0,78.0
13,"M.A.Y.U.
",968860.0,1128.0,NoFC,8/29/2023,8/29/2023,343.0,295.0,98.0,23.0,2.0,8.0,2.0,18.0,105.0
12,"chaplet
",948160.0,883.0,NoFC,8/29/2023,8/29/2023,325.0,199.0,93.0,31.0,3.0,23.0,3.0,19.0,108.0
14,"BROFTHEONBE DOR Extended Megamix:
",951780.0,1344.0,NoFC,8/29/2023,8/29/2023,321.0,314.0,153.0,48.0,2.0,16.0,4.0,37.0,166.0
14,"ポッ ピン キャ ン テ ディ メッ フ ィ ー バ ー!
",964920.0,1487.0,NoFC,8/29/2023,8/29/2023,921.0,382.0,105.0,29.0,4.0,34.0,4.0,54.0,84.0
14,"Boss Rush
",938030.0,1405.0,NoFC,8/29/2023,8/29/2023,969.0,328.0,146.0,60.0,5.0,23.0,6.0,44.0,70.0
13,"Good Sound United
",961790.0,1285.0,NoFC,8/29/2023,8/29/2023,9209.0,327.0,124.0,32.0,3.0,8.0,3.0,24.0,1355.0
10,"アド レナ リン
",916590.0,558.0,NoFC,8/29/2023,8/29/2023,132.0,114.0,86.0,38.0,5.0,2.0,1.0,17.0,18.0
13,"ブレ イン エイ シア -PHQ remix-
",989130.0,1352.0,GrFC,8/29/2023,8/29/2023,482.0,373.0,97.0,12.0,0.0,9.0,0.0,14.0,95.0
13,"bag
",952270.0,937.0,GFC,8/29/2023,8/29/2023,382.0,217.0,124.0,38.0,3.0,0.0,0.0,106.0,5.0
13,"ナイ ト オフ ブナ イツ (Ryu: Remix)
",995670.0,1664.0,GrFC,8/29/2023,8/29/2023,578.0,486.0,87.0,5.0,0.0,9.0,0.0,312.0,660.0
10,"アリ ス サ イ ド ・ キ ャ スリ ング
",973730.0,743.0,GFC,8/29/2023,8/29/2023,961.0,170.0,74.0,16.0,1.0,23.0,0.0,73.0,18.0
12,"パー フェ クト イー ター
",994160.0,1307.0,GrFC,8/29/2023,8/29/2023,44.0,383.0,52.0,6.0,0.0,16.0,0.0,29.0,29.0
M5,"ヤサイ マシ ニン ニク アフ ラオ オメ
",927960.0,1235.0,NoFC,8/29/2023,8/29/2023,177.0,286.0,133.0,57.0,6.0,18.0,8.0,71.0,125.0
13,"宇宙 (ソラ ) へ の 片 適 切符
",997290.0,978.0,GrFC,8/29/2023,8/29/2023,317.0,283.0,32.0,2.0,0.0,21.0,0.0,20.0,14.0
,,,,,,,,,,,,,,,
18,Eon Break,1000000.0,1992.0,MFC,09/26/2023,09/26/2023,639.0,639.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
